Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L85,%594,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_1690_3,NA,NA,NA,NA,NA
L86,%598,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_1691,NA,NA,NA,NA,NA
L87,%601,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_1732,NA,NA,NA,NA,NA
L88,%603,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_1737,NA,NA,NA,NA,NA
L89,%Y_36,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_1748_84,NA,NA,NA,NA,NA
L90,%605,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_1764,NA,NA,NA,NA,NA
L91,%607,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_1781_47,NA,NA,NA,NA,NA
L92,%609,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_1797,NA,NA,NA,NA,NA
L93,%611,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_1802,NA,NA,NA,NA,NA
L94,%Y_39,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_1813_100,NA,NA,NA,NA,NA
L95,%613,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_1829,NA,NA,NA,NA,NA
L96,%621,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_1909,NA,NA,NA,NA,NA
L97,%624,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_1934,NA,NA,NA,NA,NA
L98,%625,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_1935_62,NA,NA,NA,NA,NA
L99,%629,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_1936,NA,NA,NA,NA,NA
L100,%632,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_1977,NA,NA,NA,NA,NA
L101,%634,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_1982,NA,NA,NA,NA,NA
L102,%Y_42,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_1993_26,NA,NA,NA,NA,NA
L103,%636,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_2009,NA,NA,NA,NA,NA
L104,%638,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_2026_60,NA,NA,NA,NA,NA
L105,%640,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_2042,NA,NA,NA,NA,NA
L106,%642,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_2047,NA,NA,NA,NA,NA
L107,%Y_45,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_2058_86,NA,NA,NA,NA,NA
L108,%644,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_2074,NA,NA,NA,NA,NA
L109,%652,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_2154,NA,NA,NA,NA,NA
L110,%655,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_2179,NA,NA,NA,NA,NA
L111,%656,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_2180_24,NA,NA,NA,NA,NA
L112,%660,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_2181,NA,NA,NA,NA,NA
L113,%663,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_2222,NA,NA,NA,NA,NA
L114,%665,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_2227,NA,NA,NA,NA,NA
L115,%Y_48,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_2238_27,NA,NA,NA,NA,NA
L116,%667,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_2254,NA,NA,NA,NA,NA
L117,%669,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_2271_15,NA,NA,NA,NA,NA
L118,%671,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_2287,NA,NA,NA,NA,NA
L119,%673,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_2292,NA,NA,NA,NA,NA
L120,%Y_51,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_2303_89,NA,NA,NA,NA,NA
L121,%675,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_2319,NA,NA,NA,NA,NA
L122,%683,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_2399,NA,NA,NA,NA,NA
L123,%686,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_2424,NA,NA,NA,NA,NA
