Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L147,%409,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/attention/attention/query/Add_7,NA,NA,NA,NA,NA
L148,%410,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/attention/attention/key/Add_40,NA,NA,NA,NA,NA
L149,%411,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/attention/attention/value/Add_47,NA,NA,NA,NA,NA
L150,%420,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.7/attention/attention/MatMul,NA,NA,NA,NA,NA
L151,%421,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.7/attention/attention/Softmax,NA,NA,NA,NA,NA
L152,%422,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.7/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L153,%425,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L154,%426,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/Add-Initializer_vit.encoder.layer.7.attention.output.dense.bias-/vit/encoder/layer.7/attention/output/dense/Add_78,NA,NA,NA,NA,NA
L155,%427,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/Add-Initializer_vit.encoder.layer.7.attention.output.dense.bias-/vit/encoder/layer.7/attention/output/dense/Add_21,NA,NA,NA,NA,NA
L156,%Y_42,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/layernorm_after/Add_1_1,NA,NA,NA,NA,NA
L157,%428,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.7/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L158,%429,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.7/intermediate/dense/Add_105,NA,NA,NA,NA,NA
L159,%430,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.7/intermediate/intermediate_act_fn/Mul_1_87,NA,NA,NA,NA,NA
L160,%431,MatMul,1,197,3072,NA,3072,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/output/dense/MatMul,NA,NA,NA,NA,NA
L161,%432,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/output/Add-Initializer_vit.encoder.layer.7.output.dense.bias-/vit/encoder/layer.7/output/dense/Add_126,NA,NA,NA,NA,NA
L162,%433,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.7/output/Add-Initializer_vit.encoder.layer.7.output.dense.bias-/vit/encoder/layer.7/output/dense/Add_82,NA,NA,NA,NA,NA
L163,%Y_45,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/layernorm_before/Add_1_114,NA,NA,NA,NA,NA
L164,%434,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/attention/query/MatMul,NA,NA,NA,NA,NA
L165,%435,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/attention/key/MatMul,NA,NA,NA,NA,NA
L166,%436,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/attention/value/MatMul,NA,NA,NA,NA,NA
L167,%437,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/attention/query/Add_24,NA,NA,NA,NA,NA
L168,%438,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/attention/key/Add_109,NA,NA,NA,NA,NA
L169,%439,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/attention/value/Add_17,NA,NA,NA,NA,NA
L170,%448,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.8/attention/attention/MatMul,NA,NA,NA,NA,NA
L171,%449,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.8/attention/attention/Softmax,NA,NA,NA,NA,NA
L172,%450,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.8/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L173,%453,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L174,%454,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/Add-Initializer_vit.encoder.layer.8.attention.output.dense.bias-/vit/encoder/layer.8/attention/output/dense/Add_2,NA,NA,NA,NA,NA
L175,%455,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/Add-Initializer_vit.encoder.layer.8.attention.output.dense.bias-/vit/encoder/layer.8/attention/output/dense/Add_122,NA,NA,NA,NA,NA
L176,%Y_48,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/layernorm_after/Add_1_86,NA,NA,NA,NA,NA
L177,%456,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.8/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L178,%457,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.8/intermediate/dense/Add_100,NA,NA,NA,NA,NA
L179,%458,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.8/intermediate/intermediate_act_fn/Mul_1_97,NA,NA,NA,NA,NA
L180,%459,MatMul,1,197,3072,NA,3072,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/output/dense/MatMul,NA,NA,NA,NA,NA
L181,%460,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/output/Add-Initializer_vit.encoder.layer.8.output.dense.bias-/vit/encoder/layer.8/output/dense/Add_91,NA,NA,NA,NA,NA
L182,%461,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.8/output/Add-Initializer_vit.encoder.layer.8.output.dense.bias-/vit/encoder/layer.8/output/dense/Add_57,NA,NA,NA,NA,NA
