0,1,1,1,1,394272,0,1,1204224,0
1,1,2,2,1,394272,1,2,25690112,0
2,1,4,2,2,96800,0,3,6422528,0
3,1,6,3,2,96800,1,4,12845056,0
4,1,12,3,4,23328,0,5,3211264,0
5,2,20,5,4,23328,0,7,6422528,0
6,2,20,5,4,23328,1,9,6422528,0
7,4,40,5,8,5408,0,13,1605632,0
8,6,72,9,8,5408,0,19,3211264,0
9,6,72,9,8,5408,1,25,3211264,0
10,6,72,9,8,1152,0,31,802816,0
11,6,72,9,8,1152,0,37,802816,0
12,6,72,9,8,1152,1,43,802816,0
13,32,512,8,64,8,0,75,32768,0
14,32,512,8,64,8,0,113,32768,1
15,8,128,8,16,8,0,121,32768,1
