1.0,1.0,256,100,36,36,4,32,242,4803857.660818698,74470799.50446624,4972339730.951173,1314.6630109657058,M3D,796138.5,41521.586776859505,0,837660.0867768595,35728250.941519134,1202755.091345253,0.0,36931006.032864384,5.734853237788774,0.09216361257067784,0.015502291025786668,0.07384391183612656,0,4.294981836800001,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,256,36,25,36,4,32,242,4803857.660818698,74470799.50446624,1243084932.7377932,332.2836078442456,M3D,281646.625,16209.603305785124,0,297856.2283057851,5538757.297988129,178665.6967788875,0.0,5717422.994767017,16.12810881324584,0.10191529107666769,0.015502291025786668,0.030687839162297583,0,1.7277273292800004,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,256,36,16,36,4,32,242,4803857.660818698,74470799.50446624,795574356.9521877,216.17547533234873,M3D,281646.625,16209.603305785124,0,297856.2283057851,5538757.297988129,178665.6967788875,0.0,5717422.994767017,16.12810881324584,0.10191529107666769,0.015502291025786668,0.030687839162297583,0,1.7277273292800004,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,256,36,9,36,4,32,242,4803857.660818698,74470799.50446624,447510575.7856055,124.92904147520778,M3D,281656.625,16397.12396694215,0,298053.74896694213,5538889.650225697,180661.10399493086,0.0,5719550.754220628,16.11742069163339,0.10191134542295897,0.015502291025786668,0.030683251224678784,0,1.7277273292800004,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,1024,100,9,100,3,32,242,12147896.823350215,35247425383.76255,3630477707.334048,1280.7531085505418,M3D,5287611.0,221668.31404958677,0,5509279.314049587,266378542.23818338,4787957.415632844,0.0,271166499.6538162,2.2049883715953627,2.195875081399608,2.9015249220763315,0.07197751030578432,0,3.2896086016000003,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,1024,100,9,100,3,32,242,12147896.823350215,35247425383.76255,3630477707.334048,1280.7531085505418,M3D,5287611.0,221668.31404958677,0,5509279.314049587,266378542.23818338,4787957.415632844,0.0,271166499.6538162,2.2049883715953627,2.195875081399608,2.9015249220763315,0.07197751030578432,0,3.2896086016000003,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,1024,100,9,100,3,32,242,12147896.823350215,35247425383.76255,3630477707.334048,1280.7531085505418,M3D,5287611.0,221668.31404958677,0,5509279.314049587,266378542.23818338,4787957.415632844,0.0,271166499.6538162,2.2049883715953627,2.195875081399608,2.9015249220763315,0.07197751030578432,0,3.2896086016000003,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,1024,100,9,100,3,32,242,12147896.823350215,35247425383.76255,3630477707.334048,1280.7531085505418,M3D,5287611.0,221668.31404958677,0,5509279.314049587,266378542.23818338,4787957.415632844,0.0,271166499.6538162,2.2049883715953627,2.195875081399608,2.9015249220763315,0.07197751030578432,0,3.2896086016000003,NA,5,1.0
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,rcc,TFLOPS,compute_power,2D_3D_NoC_power,2_5D_power,2d_3d_router_area,peak_temperature,placement_method,percent_router
1.0,1.0,1024,100,9,100,3,32,242,12147896.823350215,35247425383.76255,3630477707.334048,1280.7531085505418,M3D,5287611.0,221668.31404958677,0,5509279.314049587,266378542.23818338,4787957.415632844,0.0,271166499.6538162,2.2049883715953627,2.195875081399608,2.9015249220763315,0.07197751030578432,0,3.2896086016000003,NA,5,1.0
