+-------+--------------+--------------------+-------------------------+----------+--------------------+------------------------+-----------------------+-----------------------+
| Stack | NoP Position | 2.5d link position | nop_noc_router_location | chip_idx |   2.5d link Area   |   2.5d link Latency    |   2.5d link Energy    |    2.5d link Power    |
| S12_W |    3,2,1     |         W          |       (-1, 0, 0)        |   C25    | 0.2372645778187342 | 0.00022137663142885003 | 5.260233234744576e-07 | 0.002376146570120344  |
| S13_N |    3,3,0     |         N          |        (0, 1, 0)        |   C26    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S13_S |    3,3,0     |         S          |       (0, -1, 0)        |   C26    | 0.2372645778187342 | 0.00029331833301995004 | 6.969673509587712e-07 | 0.002376146570120344  |
| S13_E |    3,3,0     |         E          |        (1, 0, 0)        |   C26    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S13_W |    3,3,0     |         W          |       (-1, 0, 0)        |   C26    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S14_N |    2,3,2     |         N          |        (0, 1, 0)        |   C28    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S14_S |    2,3,2     |         S          |       (0, -1, 0)        |   C28    | 0.2372645778187342 | 0.00014384537902702502 | 3.417977040027264e-07 | 0.0023761465701203446 |
| S14_E |    2,3,2     |         E          |        (1, 0, 0)        |   C28    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S14_W |    2,3,2     |         W          |       (-1, 0, 0)        |   C28    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
+-------+--------------+--------------------+-------------------------+----------+--------------------+------------------------+-----------------------+-----------------------+
