+-------+--------------+--------------------+-------------------------+----------+--------------------+------------------------+-----------------------+-----------------------+
| Stack | NoP Position | 2.5d link position | nop_noc_router_location | chip_idx |   2.5d link Area   |   2.5d link Latency    |   2.5d link Energy    |    2.5d link Power    |
+-------+--------------+--------------------+-------------------------+----------+--------------------+------------------------+-----------------------+-----------------------+
| S1_N  |    0,0,0     |         N          |        (0, 1, 0)        |    C1    | 0.2372645778187342 | 0.00014384537902702502 | 3.417977040027264e-07 | 0.0023761465701203446 |
| S1_S  |    0,0,0     |         S          |       (0, -1, 0)        |    C1    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S1_E  |    0,0,0     |         E          |        (1, 0, 0)        |    C1    | 0.2372645778187342 | 0.00028765273389887505 | 6.83505057039552e-07  | 0.002376146570120344  |
| S1_W  |    0,0,0     |         W          |       (-1, 0, 0)        |    C1    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S2_N  |    1,0,0     |         N          |        (0, 1, 0)        |    C2    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S2_S  |    1,0,0     |         S          |       (0, -1, 0)        |    C2    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S2_E  |    1,0,0     |         E          |        (1, 0, 0)        |    C2    | 0.2372645778187342 | 0.00014388340318220003 | 3.418880549686272e-07 | 0.002376146570120344  |
| S2_W  |    1,0,0     |         W          |       (-1, 0, 0)        |    C2    | 0.2372645778187342 | 0.00028765273389887505 | 6.83505057039552e-07  | 0.002376146570120344  |
| S3_N  |    2,0,1     |         N          |        (0, 1, 0)        |    C5    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S3_S  |    2,0,1     |         S          |       (0, -1, 0)        |    C5    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S3_E  |    2,0,1     |         E          |        (1, 0, 0)        |    C5    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S3_W  |    2,0,1     |         W          |       (-1, 0, 0)        |    C5    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S4_N  |    3,0,0     |         N          |        (0, 1, 0)        |    C7    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S4_S  |    3,0,0     |         S          |       (0, -1, 0)        |    C7    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S4_E  |    3,0,0     |         E          |        (1, 0, 0)        |    C7    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S4_W  |    3,0,0     |         W          |       (-1, 0, 0)        |    C7    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S5_N  |    3,1,0     |         N          |        (0, 1, 0)        |   C10    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S5_S  |    3,1,0     |         S          |       (0, -1, 0)        |   C10    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S5_E  |    3,1,0     |         E          |        (1, 0, 0)        |   C10    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S5_W  |    3,1,0     |         W          |       (-1, 0, 0)        |   C10    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S6_N  |    2,1,1     |         N          |        (0, 1, 0)        |   C13    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
