+--------+--------+-----------------+-----------+-----------+--------+----------+--------+----------------+----------------+-----------------------------------------------------------------+--------------------------------------------+--------------------------------------------------------------------+
| Source | Target | connection_type | bus_width |     Q     | hops2d | hops2_5d | hops3d | nop_location_s | nop_location_d |                         router_list_2d                          |               router_list_3d               |                          nop_router_list                           |
| C19_T1 | C22_T1 |      3_5d       |    80     | 1210368.0 |   3    |    2     |   1    |      East      |      West      | {'S9': [(0, 0, 1), (1, 0, 1)], 'S11': [(-1, 0, 0), (0, 0, 0)]}  |       {'S9': [(1, 0, 0)], 'S11': []}       |                 [(0, 2, 0), (1, 2, 0), (2, 2, 0)]                  |
| C20_T1 | C21_T1 |       3d        |    500    | 1210368.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |      {'S10': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
| C21_T1 | C22_T1 |      3_5d       |    80     | 1210368.0 |   2    |    1     |   1    |      East      |      West      | {'S10': [(0, 0, 1), (1, 0, 1)], 'S11': [(-1, 0, 0), (0, 0, 0)]} |      {'S10': [(1, 0, 0)], 'S11': []}       |                       [(1, 2, 0), (2, 2, 0)]                       |
| C22_T1 | C23_T1 |       3d        |    500    | 3725664.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |      {'S11': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
| C23_T1 | C24_T1 |      3_5d       |    80     | 3725664.0 |   2    |    1     |   1    |      East      |      West      | {'S11': [(0, 0, 1), (1, 0, 1)], 'S12': [(-1, 0, 0), (0, 0, 0)]} |      {'S11': [(1, 0, 0)], 'S12': []}       |                       [(2, 2, 0), (3, 2, 0)]                       |
| C24_T1 | C25_T1 |       3d        |    500    | 3725664.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |      {'S12': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
| C25_T1 | C26_T1 |      3_5d       |    80     | 3725664.0 |   2    |    1     |   1    |     North      |     South      | {'S12': [(0, 0, 1), (0, 1, 1)], 'S13': [(0, -1, 0), (0, 0, 0)]} |      {'S12': [(0, 1, 0)], 'S13': []}       |                       [(3, 2, 0), (3, 3, 0)]                       |
| C26_T1 | C27_T1 |       3d        |    500    | 1210368.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |      {'S13': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
| C27_T1 | C29_T1 |      3_5d       |    80     | 1210368.0 |   2    |    1     |   1    |      West      |      East      | {'S13': [(-1, 0, 1), (0, 0, 1)], 'S14': [(0, 0, 0), (1, 0, 0)]} |      {'S13': [(-1, 0, 0)], 'S14': []}      |                       [(2, 3, 0), (3, 3, 0)]                       |
| C28_T1 | C29_T1 |       3d        |    500    | 4718592.0 |   0    |    0     |   2    |       NA       |       NA       |                               {}                                | {'S14': [(0, 0, 0), (0, 0, 1), (0, 0, 2)]} |                                 {}                                 |
| C29_T1 | C30_T1 |       3d        |    500    | 1210368.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |      {'S14': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
+--------+--------+-----------------+-----------+-----------+--------+----------+--------+----------------+----------------+-----------------------------------------------------------------+--------------------------------------------+--------------------------------------------------------------------+
