+-------------+-------------+-------------+-------------+--------------+----------+-----------+----------+--------------+----------------------+-----------------------+------------------------+------------+-----------------+-------------+----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+
|   Chiplet   | Chiplet ID  |   Tile ID   |   HW Type   | NoC Position | AI Layer |  Comment  | Stack ID | NoP Position |      Tile_Area       |      Tile_Power       |      Tile_Energy       | DDR_Energy |  Tile_Latency   | DDR_Latency |     router Area      |     router Energy      |     router Latency     |      router Power      |     3D link Area      |    3D link Latency     |     3D link Energy     |     3D link Power      |
+-------------+-------------+-------------+-------------+--------------+----------+-----------+----------+--------------+----------------------+-----------------------+------------------------+------------+-----------------+-------------+----------------------+------------------------+------------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+
|    C1_T1    |     C1      |     T1      |  Mem Tile   |     0,0      |   DDR    |    DDR    |    S1    |    0,0,0     |  0.8727824076799999  |      0.001443226      | 6.551380104399999e-08  |    0.0     |   4.5394e-05    |     0.0     | 0.011443404800000003 | 2.247884444378362e-08  |      9.08176e-05       | 0.0002475163893758877  |          0.0          |          0.0           |          0.0           |          0.0           |
|    C2_T1    |     C2      |     T1      |  Input Mem  |     0,0      |    L1    |   Input   |    S2    |    1,0,0     | 0.054548900479999995 |      0.001443226      |    1.092522082e-08     | 6.6192e-07 |    7.57e-06     | 4.82525e-05 | 0.011443404800000003 | 2.6226018934248712e-08 | 0.00010596220000000001 | 0.00024750353365868874 |          0.0          |          0.0           |          0.0           |          0.0           |
|    C3_T1    |     C3      |     T1      |  L1 Wg Mem  |     0,0      |    L1    |  Weight   |    S3    |    2,0,2     | 0.10909780095999999  | 0.0014432260000000001 |    4.2569394096e-08    |    0.0     |   2.9496e-05    |     0.0     | 0.010793574400000002 |          0.0           |          0.0           |          0.0           | 0.0007142857142857143 |      9.447184e-06      | 3.5984511868552027e-09 | 0.00038090199014385694 |
|    C4_T1    |     C4      |     T1      |    L1 SA    |     0,0      |    L1    |  Matmul   |    S3    |    2,0,0     | 0.38641168911999996  |  0.01780039264239785  | 1.6605630288240106e-05 |    0.0     |   0.00093288    |     0.0     | 0.010793574400000002 |  3.7467542405644e-09   |      1.51396e-05       | 0.0002474803984626014  | 0.0007142857142857143 | 1.1872919999999999e-05 |  4.52197421132321e-09  | 0.0003808645397529176  |
|    C5_T1    |     C5      |     T1      | L1 Out Mem  |     0,0      |    L1    |  Output   |    S3    |    2,0,1     | 0.054548900479999995 |      0.001443226      |    1.092522082e-08     |    0.0     |    7.57e-06     |     0.0     | 0.010793574400000002 |  3.7467542405644e-09   |      1.51396e-05       | 0.0002474803984626014  | 0.0007142857142857143 | 1.1872919999999999e-05 |  4.52197421132321e-09  | 0.0003808645397529176  |
|    C6_T1    |     C6      |     T1      |  L2 Wg Mem  |     0,0      |    L2    |  Weight   |    S4    |    3,0,2     | 0.10909780095999999  | 0.0014432260000000001 |    4.2569394096e-08    |    0.0     |   2.9496e-05    |     0.0     | 0.010793574400000002 |          0.0           |          0.0           |          0.0           | 0.0007142857142857143 |      9.447184e-06      | 3.5984511868552027e-09 | 0.00038090199014385694 |
|    C7_T1    |     C7      |     T1      |    L2 SA    |     0,0      |    L2    |  Matmul   |    S4    |    3,0,0     | 0.38641168911999996  | 0.017800392642397845  | 1.6716704738328665e-05 |    0.0     |   0.00093912    |     0.0     | 0.010793574400000002 | 3.747174490465094e-09  |      1.51446e-05       | 0.00024742644179873315 | 0.0007142857142857143 | 1.1872919999999999e-05 |  4.52197421132321e-09  | 0.0003808645397529176  |
|    C8_T1    |     C8      |     T1      | L2 Out Mem  |     0,0      |    L2    |  Output   |    S4    |    3,0,1     | 0.054548900479999995 |      0.001443226      |    1.092522082e-08     |    0.0     |    7.57e-06     |     0.0     | 0.010793574400000002 | 3.747594740365788e-09  |      1.51496e-05       | 0.0002473725207507649  | 0.0007142857142857143 | 1.1872919999999999e-05 |  4.52197421132321e-09  | 0.0003808645397529176  |
|    C9_T1    |     C9      |     T1      |  L3 Wg Mem  |     0,0      |    L3    |  Weight   |    S5    |    3,1,2     | 0.10909780095999999  | 0.0014432260000000001 |    4.2569394096e-08    |    0.0     |   2.9496e-05    |     0.0     | 0.010793574400000002 |          0.0           |          0.0           |          0.0           | 0.0007142857142857143 |      9.447184e-06      | 3.5984511868552027e-09 | 0.00038090199014385694 |
|   C10_T1    |     C10     |     T1      |    L3 SA    |     0,0      |    L3    |  Matmul   |    S5    |    3,1,0     | 0.38641168911999996  |  0.01780039264239785  | 1.6605630288240106e-05 |    0.0     |   0.00093288    |     0.0     | 0.010793574400000002 | 3.747594740365788e-09  |      1.51496e-05       | 0.0002473725207507649  | 0.0007142857142857143 | 1.1872919999999999e-05 |  4.52197421132321e-09  | 0.0003808645397529176  |
|   C11_T1    |     C11     |     T1      | L3 Out Mem  |     0,0      |    L3    |  Output   |    S5    |    3,1,1     | 0.054548900479999995 |      0.001443226      |    1.092522082e-08     |    0.0     |    7.57e-06     |     0.0     | 0.010793574400000002 | 3.747594740365788e-09  |      1.51496e-05       | 0.0002473725207507649  | 0.0007142857142857143 | 1.1872919999999999e-05 |  4.52197421132321e-09  | 0.0003808645397529176  |
