Chiplet ID,Stack ID,Tier ID,NoP Position
C1,S1,TR0,"0,0,0"
C2,S2,TR0,"1,0,0"
C3,S3,TR0,"2,0,0"
C4,S4,TR0,"3,0,0"
C5,S5,TR0,"3,1,0"
C6,S6,TR0,"2,1,0"
C7,S7,TR0,"1,1,0"
C8,S8,TR0,"0,1,0"
C9,S9,TR0,"0,2,0"
C10,S10,TR0,"1,2,0"
C11,S11,TR0,"2,2,0"
C12,S12,TR0,"3,2,0"
C13,S13,TR0,"3,3,0"
C14,S14,TR0,"2,3,0"
C15,S15,TR0,"1,3,0"
C16,S16,TR0,"0,3,0"
