Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz),wrap_Auto,wrap_n_SA,wrap_SA_size_y,wrap_SA_size_x,wrap_Temporal,layer_macs,num_adders_tile,num_adder_stages
C1,T395,SA,16,16,2,8,1000000000.0,{'L151': 1024.0},{'L151': 2},{'L151': 128},{'L151': 1024.0},{'L151': 1},{'L151': 268435456.0},256.0,1.0
C1,T398,SA,16,16,2,8,1000000000.0,{'L152': 1024.0},{'L152': 2},{'L152': 128},{'L152': 1024.0},{'L152': 1},{'L152': 268435456.0},256.0,1.0
C1,T403,SA,16,16,2,8,1000000000.0,{'L154': 3072.0},{'L154': 2},{'L154': 128},{'L154': 512.0},{'L154': 1},{'L154': 402653184.0},256.0,1.0
C1,T406,SA,16,16,2,8,1000000000.0,{'L155': 3072.0},{'L155': 2},{'L155': 128},{'L155': 512.0},{'L155': 1},{'L155': 402653184.0},256.0,1.0
C1,T411,SA,16,16,2,8,1000000000.0,{'L157': 1024.0},{'L157': 2},{'L157': 128},{'L157': 1536.0},{'L157': 1},{'L157': 402653184.0},256.0,1.0
C1,T416,SA,16,16,2,8,1000000000.0,{'L159': 2048.0},{'L159': 2},{'L159': 128},{'L159': 512.0},{'L159': 1},{'L159': 268435456.0},256.0,1.0
C1,T419,SA,16,16,2,8,1000000000.0,{'L160': 1024.0},{'L160': 2},{'L160': 128},{'L160': 512.0},{'L160': 1},{'L160': 134217728.0},256.0,1.0
C1,T422,SA,16,16,2,8,1000000000.0,{'L161': 1024.0},{'L161': 2},{'L161': 128},{'L161': 512.0},{'L161': 1},{'L161': 134217728.0},256.0,1.0
C1,T429,SA,16,16,2,8,1000000000.0,{'L164': 1024.0},{'L164': 2},{'L164': 128},{'L164': 1024.0},{'L164': 1},{'L164': 268435456.0},256.0,1.0
C1,T432,SA,16,16,2,8,1000000000.0,{'L165': 1024.0},{'L165': 2},{'L165': 128},{'L165': 1024.0},{'L165': 1},{'L165': 268435456.0},256.0,1.0
C1,T437,SA,16,16,2,8,1000000000.0,{'L167': 3072.0},{'L167': 2},{'L167': 128},{'L167': 512.0},{'L167': 1},{'L167': 402653184.0},256.0,1.0
C1,T440,SA,16,16,2,8,1000000000.0,{'L168': 3072.0},{'L168': 2},{'L168': 128},{'L168': 512.0},{'L168': 1},{'L168': 402653184.0},256.0,1.0
C1,T445,SA,16,16,2,8,1000000000.0,{'L170': 1024.0},{'L170': 2},{'L170': 128},{'L170': 1536.0},{'L170': 1},{'L170': 402653184.0},256.0,1.0
C1,T450,SA,16,16,2,8,1000000000.0,{'L172': 2048.0},{'L172': 2},{'L172': 128},{'L172': 512.0},{'L172': 1},{'L172': 268435456.0},256.0,1.0
C1,T453,SA,16,16,2,8,1000000000.0,{'L173': 1024.0},{'L173': 2},{'L173': 128},{'L173': 512.0},{'L173': 1},{'L173': 134217728.0},256.0,1.0
C1,T456,SA,16,16,2,8,1000000000.0,{'L174': 1024.0},{'L174': 2},{'L174': 128},{'L174': 512.0},{'L174': 1},{'L174': 134217728.0},256.0,1.0
C1,T463,SA,16,16,2,8,1000000000.0,{'L177': 1024.0},{'L177': 2},{'L177': 128},{'L177': 1024.0},{'L177': 1},{'L177': 268435456.0},256.0,1.0
C1,T466,SA,16,16,2,8,1000000000.0,{'L178': 1024.0},{'L178': 2},{'L178': 128},{'L178': 1024.0},{'L178': 1},{'L178': 268435456.0},256.0,1.0
