Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C3,T2,SA,16,16,2,8,1000000000.0
C3,T5,SA,16,16,2,8,1000000000.0
C3,T8,SA,16,16,2,8,1000000000.0
C3,T11,SA,16,16,2,8,1000000000.0
C3,T14,SA,16,16,2,8,1000000000.0
C3,T17,SA,16,16,2,8,1000000000.0
C3,T20,SA,16,16,2,8,1000000000.0
C3,T23,SA,16,16,2,8,1000000000.0
C3,T26,SA,16,16,2,8,1000000000.0
C3,T29,SA,16,16,2,8,1000000000.0
C3,T32,SA,16,16,2,8,1000000000.0
C3,T35,SA,16,16,2,8,1000000000.0
C3,T38,SA,16,16,2,8,1000000000.0
C3,T41,SA,16,16,2,8,1000000000.0
C3,T44,SA,16,16,2,8,1000000000.0
C3,T47,SA,16,16,2,8,1000000000.0
C3,T50,SA,16,16,2,8,1000000000.0
C3,T53,SA,16,16,2,8,1000000000.0
C3,T56,SA,16,16,2,8,1000000000.0
C3,T59,SA,16,16,2,8,1000000000.0
C3,T62,SA,16,16,2,8,1000000000.0
C3,T65,SA,16,16,2,8,1000000000.0
C3,T68,SA,16,16,2,8,1000000000.0
C3,T71,SA,16,16,2,8,1000000000.0
C3,T74,SA,16,16,2,8,1000000000.0
C3,T77,SA,16,16,2,8,1000000000.0
C3,T80,SA,16,16,2,8,1000000000.0
C3,T83,SA,16,16,2,8,1000000000.0
C3,T86,SA,16,16,2,8,1000000000.0
C3,T89,SA,16,16,2,8,1000000000.0
C3,T92,SA,16,16,2,8,1000000000.0
C3,T95,SA,16,16,2,8,1000000000.0
C3,T98,SA,16,16,2,8,1000000000.0
C3,T101,SA,16,16,2,8,1000000000.0
C3,T104,SA,16,16,2,8,1000000000.0
C3,T107,SA,16,16,2,8,1000000000.0
C3,T110,SA,16,16,2,8,1000000000.0
C3,T113,SA,16,16,2,8,1000000000.0
C3,T116,SA,16,16,2,8,1000000000.0
C3,T119,SA,16,16,2,8,1000000000.0
C3,T122,SA,16,16,2,8,1000000000.0
C3,T125,SA,16,16,2,8,1000000000.0
C3,T128,SA,16,16,2,8,1000000000.0
C3,T131,SA,16,16,2,8,1000000000.0
C3,T134,SA,16,16,2,8,1000000000.0
C3,T137,SA,16,16,2,8,1000000000.0
C3,T140,SA,16,16,2,8,1000000000.0
C3,T143,SA,16,16,2,8,1000000000.0
C3,T146,SA,16,16,2,8,1000000000.0
C3,T149,SA,16,16,2,8,1000000000.0
C3,T152,SA,16,16,2,8,1000000000.0
C3,T155,SA,16,16,2,8,1000000000.0
C3,T158,SA,16,16,2,8,1000000000.0
C3,T161,SA,16,16,2,8,1000000000.0
C3,T164,SA,16,16,2,8,1000000000.0
C3,T167,SA,16,16,2,8,1000000000.0
C3,T170,SA,16,16,2,8,1000000000.0
C3,T173,SA,16,16,2,8,1000000000.0
C3,T176,SA,16,16,2,8,1000000000.0
C3,T179,SA,16,16,2,8,1000000000.0
C3,T182,SA,16,16,2,8,1000000000.0
C3,T185,SA,16,16,2,8,1000000000.0
C3,T188,SA,16,16,2,8,1000000000.0
C3,T191,SA,16,16,2,8,1000000000.0
C3,T194,SA,16,16,2,8,1000000000.0
C3,T197,SA,16,16,2,8,1000000000.0
C3,T200,SA,16,16,2,8,1000000000.0
C3,T203,SA,16,16,2,8,1000000000.0
C3,T206,SA,16,16,2,8,1000000000.0
C3,T209,SA,16,16,2,8,1000000000.0
C3,T212,SA,16,16,2,8,1000000000.0
C3,T215,SA,16,16,2,8,1000000000.0
C3,T218,SA,16,16,2,8,1000000000.0
C3,T221,SA,16,16,2,8,1000000000.0
C3,T224,SA,16,16,2,8,1000000000.0
C3,T227,SA,16,16,2,8,1000000000.0
C3,T230,SA,16,16,2,8,1000000000.0
C3,T233,SA,16,16,2,8,1000000000.0
C3,T236,SA,16,16,2,8,1000000000.0
C3,T239,SA,16,16,2,8,1000000000.0
C3,T242,SA,16,16,2,8,1000000000.0
C3,T245,SA,16,16,2,8,1000000000.0
C3,T248,SA,16,16,2,8,1000000000.0
C3,T251,SA,16,16,2,8,1000000000.0
C3,T254,SA,16,16,2,8,1000000000.0
C3,T257,SA,16,16,2,8,1000000000.0
C3,T260,SA,16,16,2,8,1000000000.0
C3,T263,SA,16,16,2,8,1000000000.0
C3,T266,SA,16,16,2,8,1000000000.0
C3,T269,SA,16,16,2,8,1000000000.0
C3,T272,SA,16,16,2,8,1000000000.0
C3,T275,SA,16,16,2,8,1000000000.0
C3,T278,SA,16,16,2,8,1000000000.0
C3,T281,SA,16,16,2,8,1000000000.0
C3,T284,SA,16,16,2,8,1000000000.0
C3,T287,SA,16,16,2,8,1000000000.0
C3,T290,SA,16,16,2,8,1000000000.0
C3,T293,SA,16,16,2,8,1000000000.0
C3,T296,SA,16,16,2,8,1000000000.0
C3,T299,SA,16,16,2,8,1000000000.0
C3,T302,SA,16,16,2,8,1000000000.0
C3,T305,SA,16,16,2,8,1000000000.0
C3,T308,SA,16,16,2,8,1000000000.0
C3,T311,SA,16,16,2,8,1000000000.0
C3,T314,SA,16,16,2,8,1000000000.0
C3,T317,SA,16,16,2,8,1000000000.0
C3,T320,SA,16,16,2,8,1000000000.0
C3,T323,SA,16,16,2,8,1000000000.0
C3,T326,SA,16,16,2,8,1000000000.0
C3,T329,SA,16,16,2,8,1000000000.0
C3,T332,SA,16,16,2,8,1000000000.0
C3,T335,SA,16,16,2,8,1000000000.0
C3,T338,SA,16,16,2,8,1000000000.0
C3,T341,SA,16,16,2,8,1000000000.0
C3,T344,SA,16,16,2,8,1000000000.0
C3,T347,SA,16,16,2,8,1000000000.0
C3,T350,SA,16,16,2,8,1000000000.0
C3,T353,SA,16,16,2,8,1000000000.0
C3,T356,SA,16,16,2,8,1000000000.0
C3,T359,SA,16,16,2,8,1000000000.0
C3,T362,SA,16,16,2,8,1000000000.0
C3,T365,SA,16,16,2,8,1000000000.0
C3,T368,SA,16,16,2,8,1000000000.0
C3,T371,SA,16,16,2,8,1000000000.0
C3,T374,SA,16,16,2,8,1000000000.0
C3,T377,SA,16,16,2,8,1000000000.0
C3,T380,SA,16,16,2,8,1000000000.0
C3,T383,SA,16,16,2,8,1000000000.0
C3,T386,SA,16,16,2,8,1000000000.0
C3,T389,SA,16,16,2,8,1000000000.0
C3,T392,SA,16,16,2,8,1000000000.0
C3,T395,SA,16,16,2,8,1000000000.0
C3,T398,SA,16,16,2,8,1000000000.0
C3,T401,SA,16,16,2,8,1000000000.0
C3,T404,SA,16,16,2,8,1000000000.0
C3,T407,SA,16,16,2,8,1000000000.0
C3,T410,SA,16,16,2,8,1000000000.0
C3,T413,SA,16,16,2,8,1000000000.0
C3,T416,SA,16,16,2,8,1000000000.0
C3,T419,SA,16,16,2,8,1000000000.0
C3,T422,SA,16,16,2,8,1000000000.0
C3,T425,SA,16,16,2,8,1000000000.0
C3,T428,SA,16,16,2,8,1000000000.0
C3,T431,SA,16,16,2,8,1000000000.0
C3,T434,SA,16,16,2,8,1000000000.0
C3,T437,SA,16,16,2,8,1000000000.0
