Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T565,SA,373,16,2,8,2000000000.0
C1,T568,SA,373,16,2,8,2000000000.0
C1,T573,SA,373,16,2,8,2000000000.0
C1,T576,SA,373,16,2,8,2000000000.0
C1,T581,SA,373,16,2,8,2000000000.0
C1,T586,SA,373,16,2,8,2000000000.0
C1,T589,SA,373,16,2,8,2000000000.0
C1,T592,SA,373,16,2,8,2000000000.0
C1,T599,SA,373,16,2,8,2000000000.0
C1,T602,SA,373,16,2,8,2000000000.0
C1,T607,SA,373,16,2,8,2000000000.0
C1,T610,SA,373,16,2,8,2000000000.0
C1,T615,SA,373,16,2,8,2000000000.0
C1,T620,SA,373,16,2,8,2000000000.0
C1,T623,SA,373,16,2,8,2000000000.0
C1,T626,SA,373,16,2,8,2000000000.0
C1,T633,SA,373,16,2,8,2000000000.0
C1,T636,SA,373,16,2,8,2000000000.0
C1,T641,SA,373,16,2,8,2000000000.0
C1,T644,SA,373,16,2,8,2000000000.0
C1,T649,SA,373,16,2,8,2000000000.0
C1,T654,SA,373,16,2,8,2000000000.0
C1,T657,SA,373,16,2,8,2000000000.0
C1,T660,SA,373,16,2,8,2000000000.0
C1,T667,SA,373,16,2,8,2000000000.0
C1,T670,SA,373,16,2,8,2000000000.0
C1,T675,SA,373,16,2,8,2000000000.0
C1,T678,SA,373,16,2,8,2000000000.0
C1,T683,SA,373,16,2,8,2000000000.0
C1,T688,SA,373,16,2,8,2000000000.0
C1,T691,SA,373,16,2,8,2000000000.0
C1,T694,SA,373,16,2,8,2000000000.0
C1,T701,SA,373,16,2,8,2000000000.0
C1,T704,SA,373,16,2,8,2000000000.0
C1,T709,SA,373,16,2,8,2000000000.0
C1,T712,SA,373,16,2,8,2000000000.0
C1,T717,SA,373,16,2,8,2000000000.0
C1,T722,SA,373,16,2,8,2000000000.0
C1,T725,SA,373,16,2,8,2000000000.0
C1,T728,SA,373,16,2,8,2000000000.0
C1,T735,SA,373,16,2,8,2000000000.0
C1,T738,SA,373,16,2,8,2000000000.0
C1,T743,SA,373,16,2,8,2000000000.0
C1,T746,SA,373,16,2,8,2000000000.0
C1,T751,SA,373,16,2,8,2000000000.0
C1,T756,SA,373,16,2,8,2000000000.0
C1,T759,SA,373,16,2,8,2000000000.0
C1,T762,SA,373,16,2,8,2000000000.0
C1,T769,SA,373,16,2,8,2000000000.0
C1,T772,SA,373,16,2,8,2000000000.0
C1,T777,SA,373,16,2,8,2000000000.0
C1,T780,SA,373,16,2,8,2000000000.0
C1,T785,SA,373,16,2,8,2000000000.0
C1,T790,SA,373,16,2,8,2000000000.0
C1,T793,SA,373,16,2,8,2000000000.0
C1,T796,SA,373,16,2,8,2000000000.0
C1,T803,SA,373,16,2,8,2000000000.0
C1,T806,SA,373,16,2,8,2000000000.0
C1,T811,SA,373,16,2,8,2000000000.0
C1,T814,SA,373,16,2,8,2000000000.0
C1,T819,SA,373,16,2,8,2000000000.0
C1,T824,SA,373,16,2,8,2000000000.0
C1,T827,SA,373,16,2,8,2000000000.0
C1,T830,SA,373,16,2,8,2000000000.0
