Model,2DLinkspertile: 20,2DLinkspertile: 40,2DLinkspertile: 60,2DLinkspertile: 80
mobilenetv2,0.0085588312143642,0.005436426214364202,0.004395624547697535,0.0038752237143642003
resnet50,0.018209795185660897,0.011682619185660902,0.009506893852327563,0.008419031185660902
vitbase,0.018445612732441906,0.010951138332441906,0.008452980199108565,0.007203901132441904
llama,0.05526297336911397,0.029483873969113936,0.020890840835780626,0.01659432426911394
vgg16,0.09540044228642838,0.05414512548642835,0.04039335321976168,0.03351746708642835
gpt2,0.15508045772381274,0.09492259172381269,0.0748699697238127,0.06484365872381267
qwen0.6b,0.16049386694499412,0.10023023814499407,0.08014236187832745,0.0700984237449941
gemma1b,0.28109140054758297,0.1732224085475828,0.13726607788091616,0.1192879125475829
