freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,2d NoC latency,3d NoC latency,network_latency,network_energy,peak_temperature,placement_method,percent_router
1.0,1.0,256,144,36,4,32,1458,23411290.458203394,3050260858.2832656,504440617600.44556,129004.9328701436,10080686.0,8623.703703703704,10089309.703703703,1130470274.3996034,327.62,1,0.5
1.0,1.0,256,144,36,4,32,1458,23411290.458203394,3050260858.2832656,504440617600.44556,129004.9328701436,10080686.0,8623.703703703704,10089309.703703703,1130470274.3996034,327.62,1,1.0
1.0,1.0,256,144,36,4,32,648,23411290.458203394,3050260858.2832656,504440617600.44556,127654.50043731337,10080686.0,19053.333333333332,10099739.333333334,1129704516.443866,334.02,1,0.5
1.0,1.0,256,144,36,4,32,648,23411290.458203394,3050260858.2832656,504440617600.44556,127654.50043731337,10080686.0,19053.333333333332,10099739.333333334,1129704516.443866,334.02,1,1.0
1.0,1.0,256,144,36,4,32,338,23411290.458203394,3050260858.2832656,504440617600.44556,127130.39272160262,10080686.0,36271.47928994083,10116957.479289941,1129444511.1490145,345.38,1,0.5
1.0,1.0,256,144,36,4,32,338,23411290.458203394,3050260858.2832656,504440617600.44556,127130.39272160262,10080686.0,36271.47928994083,10116957.479289941,1129444511.1490145,345.38,1,1.0
1.0,1.0,256,144,36,4,32,242,23411290.458203394,3050260858.2832656,504440617600.44556,126964.8348226213,10080686.0,50549.09090909091,10131235.090909092,1129367704.9198132,352.87,1,0.5
1.0,1.0,256,144,36,4,32,242,23411290.458203394,3050260858.2832656,504440617600.44556,126964.8348226213,10080686.0,50549.09090909091,10131235.090909092,1129367704.9198132,352.87,1,1.0
1.0,1.0,256,144,36,4,32,50,23411290.458203394,3050260858.2832656,504440617600.44556,126619.31038361759,10080686.0,243582.4,10324268.4,1129219358.093843,390.25,1,0.5
1.0,1.0,256,144,36,4,32,50,23411290.458203394,3050260858.2832656,504440617600.44556,126619.31038361759,10080686.0,243582.4,10324268.4,1129219358.093843,390.25,1,1.0
1.0,1.0,256,144,36,4,32,18,23411290.458203394,3050260858.2832656,504440617600.44556,126557.4240268153,10080686.0,676120.0,10756806.0,1129195316.2048302,405.0,1,0.5
1.0,1.0,256,144,36,4,32,18,23411290.458203394,3050260858.2832656,504440617600.44556,126557.4240268153,10080686.0,676120.0,10756806.0,1129195316.2048302,405.0,1,1.0
1.0,1.0,256,144,36,4,32,8,23411290.458203394,3050260858.2832656,504440617600.44556,126537.57161616336,10080686.0,1520920.0,11601606.0,1129187843.1095517,410.87,1,0.5
1.0,1.0,256,144,36,4,32,8,23411290.458203394,3050260858.2832656,504440617600.44556,126537.57161616336,10080686.0,1520920.0,11601606.0,1129187843.1095517,410.87,1,1.0
1.0,1.0,256,144,36,4,32,1458,23411290.458203394,3050260858.2832656,504440617600.44556,129004.9328701436,10080686.0,8623.703703703704,10089309.703703703,1130470274.3996034,327.62,1,0.5
1.0,1.0,256,144,36,4,32,1458,23411290.458203394,3050260858.2832656,504440617600.44556,129004.9328701436,10080686.0,8623.703703703704,10089309.703703703,1130470274.3996034,327.62,1,1.0
1.0,1.0,256,144,36,4,32,648,23411290.458203394,3050260858.2832656,504440617600.44556,127654.50043731337,10080686.0,19053.333333333332,10099739.333333334,1129704516.443866,334.02,1,0.5
1.0,1.0,256,144,36,4,32,648,23411290.458203394,3050260858.2832656,504440617600.44556,127654.50043731337,10080686.0,19053.333333333332,10099739.333333334,1129704516.443866,334.02,1,1.0
1.0,1.0,256,144,36,4,32,338,23411290.458203394,3050260858.2832656,504440617600.44556,127130.39272160262,10080686.0,36271.47928994083,10116957.479289941,1129444511.1490145,345.38,1,0.5
1.0,1.0,256,144,36,4,32,338,23411290.458203394,3050260858.2832656,504440617600.44556,127130.39272160262,10080686.0,36271.47928994083,10116957.479289941,1129444511.1490145,345.38,1,1.0
1.0,1.0,256,144,36,4,32,242,23411290.458203394,3050260858.2832656,504440617600.44556,126964.8348226213,10080686.0,50549.09090909091,10131235.090909092,1129367704.9198132,352.87,1,0.5
1.0,1.0,256,144,36,4,32,242,23411290.458203394,3050260858.2832656,504440617600.44556,126964.8348226213,10080686.0,50549.09090909091,10131235.090909092,1129367704.9198132,352.87,1,1.0
1.0,1.0,256,144,36,4,32,50,23411290.458203394,3050260858.2832656,504440617600.44556,126619.31038361759,10080686.0,243582.4,10324268.4,1129219358.093843,390.25,1,0.5
1.0,1.0,256,144,36,4,32,50,23411290.458203394,3050260858.2832656,504440617600.44556,126619.31038361759,10080686.0,243582.4,10324268.4,1129219358.093843,390.25,1,1.0
1.0,1.0,256,144,36,4,32,18,23411290.458203394,3050260858.2832656,504440617600.44556,126557.4240268153,10080686.0,676120.0,10756806.0,1129195316.2048302,405.0,1,0.5
1.0,1.0,256,144,36,4,32,18,23411290.458203394,3050260858.2832656,504440617600.44556,126557.4240268153,10080686.0,676120.0,10756806.0,1129195316.2048302,405.0,1,1.0
1.0,1.0,256,144,36,4,32,8,23411290.458203394,3050260858.2832656,504440617600.44556,126537.57161616336,10080686.0,1520920.0,11601606.0,1129187843.1095517,410.87,1,0.5
1.0,1.0,256,144,36,4,32,8,23411290.458203394,3050260858.2832656,504440617600.44556,126537.57161616336,10080686.0,1520920.0,11601606.0,1129187843.1095517,410.87,1,1.0
