freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,peak_temperature,placement_method,percent_router
1.0,1.0,512,225,25,225,32,242,2,9363161.638461128,9263773717.97734,103715618517.13303,52542.91390265531,H2_5D,10862157.25,0,3650.3188968000004,10865807.5688968,931857184.9657519,0.0,73901.5919336448,931931086.5576855,NA,1,1.0
1.0,1.0,512,225,25,225,32,242,2,9363161.638461128,9263773717.97734,103715618517.13303,52542.91390265531,H2_5D,10862157.25,0,3650.3188968000004,10865807.5688968,931857184.9657519,0.0,73901.5919336448,931931086.5576855,NA,1,1.0
1.0,1.0,512,225,25,144,32,242,3,9363161.638461128,9263773717.97734,155573427775.69955,52543.74535130083,M3D,9845205.375,1290026.4876033058,0,11135231.862603305,881067569.7624174,60657199.89306589,0.0,941724769.6554834,NA,5,1.0
1.0,1.0,512,225,25,225,32,242,2,9363161.638461128,9263773717.97734,103715618517.13303,52542.91390265531,H2_5D,10862157.25,0,3650.3188968000004,10865807.5688968,931857184.9657519,0.0,73901.5919336448,931931086.5576855,NA,1,1.0
1.0,1.0,512,225,25,196,32,242,4,9363161.638461128,9263773717.97734,207431237034.26605,52544.16070161467,M3D,9855649.375,1074155.6446280992,0,10929805.0196281,1168035880.9659564,69563830.61392301,0.0,1237599711.5798795,NA,5,1.0
1.0,1.0,512,225,25,225,32,242,2,9363161.638461128,9263773717.97734,103715618517.13303,52542.91390265531,H2_5D,10862157.25,0,3650.3188968000004,10865807.5688968,931857184.9657519,0.0,73901.5919336448,931931086.5576855,NA,1,1.0
1.0,1.0,512,256,25,256,32,242,2,9363161.638461128,9263773717.97734,118005325957.27136,59782.20714531994,H2_5D,10921291.3125,0,3650.3188968000004,10924941.6313968,1066704960.6154492,0.0,73901.5919336448,1066778862.2073828,NA,1,1.0
1.0,1.0,512,256,25,256,32,242,2,9363161.638461128,9263773717.97734,118005325957.27136,59782.20714531994,M3D,9916552.875,943970.4297520661,0,10860523.304752067,707927167.4730418,31489417.359945264,0.0,739416584.8329871,NA,5,1.0
1.0,1.0,512,256,25,256,32,242,2,9363161.638461128,9263773717.97734,118005325957.27136,59782.20714531994,H2_5D,10921291.3125,0,3650.3188968000004,10924941.6313968,1066704960.6154492,0.0,73901.5919336448,1066778862.2073828,NA,1,1.0
1.0,1.0,512,256,25,144,32,242,3,9363161.638461128,9263773717.97734,177007988935.907,59783.153092310204,M3D,11348552.375,1466688.9090909092,0,12815241.284090908,1117484535.0055466,78422728.53314048,0.0,1195907263.538687,NA,5,1.0
1.0,1.0,512,256,25,256,32,242,2,9363161.638461128,9263773717.97734,118005325957.27136,59782.20714531994,H2_5D,10921291.3125,0,3650.3188968000004,10924941.6313968,1066704960.6154492,0.0,73901.5919336448,1066778862.2073828,NA,1,1.0
1.0,1.0,512,256,25,196,32,242,4,9363161.638461128,9263773717.97734,236010651914.54272,59783.62564034339,M3D,11594890.375,1221042.4958677685,0,12815932.870867768,1507987711.1864243,89910754.05967206,0.0,1597898465.2460964,NA,5,1.0
1.0,1.0,512,256,25,256,32,242,2,9363161.638461128,9263773717.97734,118005325957.27136,59782.20714531994,H2_5D,10921291.3125,0,3650.3188968000004,10924941.6313968,1066704960.6154492,0.0,73901.5919336448,1066778862.2073828,NA,1,1.0
1.0,1.0,512,289,25,289,32,242,2,9363161.638461128,9263773717.97734,133216950006.45088,67488.55442479499,H2_5D,10987162.4375,0,3650.3188968000004,10990812.7563968,1211408718.9214075,0.0,73901.5919336448,1211482620.5133412,NA,1,1.0
1.0,1.0,512,289,25,256,32,242,2,9363161.638461128,9263773717.97734,133216950006.45088,67488.55442479499,M3D,10944355.75,1064883.256198347,0,12009239.006198347,857572069.6948155,40080280.14228071,0.0,897652349.8370962,NA,5,1.0
1.0,1.0,512,289,25,289,32,242,2,9363161.638461128,9263773717.97734,133216950006.45088,67488.55442479499,H2_5D,10987162.4375,0,3650.3188968000004,10990812.7563968,1211408718.9214075,0.0,73901.5919336448,1211482620.5133412,NA,1,1.0
1.0,1.0,512,289,25,144,32,242,3,9363161.638461128,9263773717.97734,199825425009.6763,67489.62225369402,M3D,12886441.75,1654867.0909090908,0,14541308.840909092,1394552773.1011028,99850704.09924284,0.0,1494403477.2003458,NA,5,1.0
1.0,1.0,512,289,25,289,32,242,2,9363161.638461128,9263773717.97734,133216950006.45088,67488.55442479499,H2_5D,10987162.4375,0,3650.3188968000004,10990812.7563968,1211408718.9214075,0.0,73901.5919336448,1211482620.5133412,NA,1,1.0
1.0,1.0,512,289,25,196,32,242,4,9363161.638461128,9263773717.97734,266433900012.90176,67490.15568791365,M3D,12928731.75,1377527.685950413,0,14306259.435950413,1858684948.7209044,114452269.55975904,0.0,1973137218.2806635,NA,5,1.0
1.0,1.0,512,289,25,289,32,242,2,9363161.638461128,9263773717.97734,133216950006.45088,67488.55442479499,H2_5D,10987162.4375,0,3650.3188968000004,10990812.7563968,1211408718.9214075,0.0,73901.5919336448,1211482620.5133412,NA,1,1.0
1.0,1.0,512,324,25,324,32,242,2,9363161.638461128,9263773717.97734,149350490664.67154,75661.95574108083,H2_5D,10787418.125,0,12091.681345650002,10799509.80634565,1342521564.9748688,0.0,244799.02328019842,1342766363.998149,NA,1,1.0
1.0,1.0,512,324,25,256,32,242,2,9363161.638461128,9263773717.97734,149350490664.67154,75661.95574108083,M3D,12113541.0,1193204.8181818181,0,13306745.818181818,1035621289.138058,50328657.88578979,0.0,1085949947.0238478,NA,5,1.0
1.0,1.0,512,324,25,324,32,242,2,9363161.638461128,9263773717.97734,149350490664.67154,75661.95574108083,H2_5D,10787418.125,0,12091.681345650002,10799509.80634565,1342521564.9748688,0.0,244799.02328019842,1342766363.998149,NA,1,1.0
1.0,1.0,512,324,25,144,32,242,3,9363161.638461128,9263773717.97734,224025735997.00735,75663.15283545265,M3D,14782872.5,1854542.9008264462,0,16637415.400826447,1746837765.0070915,125412977.37216446,0.0,1872250742.379256,NA,5,1.0
1.0,1.0,512,324,25,324,32,242,2,9363161.638461128,9263773717.97734,149350490664.67154,75661.95574108083,H2_5D,10787418.125,0,12091.681345650002,10799509.80634565,1342521564.9748688,0.0,244799.02328019842,1342766363.998149,NA,1,1.0
1.0,1.0,512,324,25,196,32,242,4,9363161.638461128,9263773717.97734,298700981329.3431,75663.75084432584,M3D,14846983.75,1543592.6198347108,0,16390576.36983471,2334190190.4340987,143728812.52297798,0.0,2477919002.9570765,NA,5,1.0
1.0,1.0,512,324,25,324,32,242,2,9363161.638461128,9263773717.97734,149350490664.67154,75661.95574108083,H2_5D,10787418.125,0,12091.681345650002,10799509.80634565,1342521564.9748688,0.0,244799.02328019842,1342766363.998149,NA,1,1.0
1.0,1.0,512,361,25,361,32,242,2,9363161.638461128,9263773717.97734,166405947931.93344,84302.41109417778,H2_5D,10811185.0625,0,2053.3043794500004,10813238.36687945,1510162484.1051283,0.0,41569.6454626752,1510204053.750591,NA,1,1.0
1.0,1.0,512,361,25,256,32,242,2,9363161.638461128,9263773717.97734,166405947931.93344,84302.41109417778,M3D,13249124.0,1328923.0247933883,0,14578047.024793388,1234301730.2099974,62435167.32327159,0.0,1296736897.533269,NA,5,1.0
1.0,1.0,512,361,25,361,32,242,2,9363161.638461128,9263773717.97734,166405947931.93344,84302.41109417778,H2_5D,10811185.0625,0,2053.3043794500004,10813238.36687945,1510162484.1051283,0.0,41569.6454626752,1510204053.750591,NA,1,1.0
1.0,1.0,512,361,25,144,32,242,3,9363161.638461128,9263773717.97734,249608921897.90015,84303.7448375864,M3D,16853752.0,2065702.2975206613,0,18919454.29752066,2169509780.468445,155609928.8283013,0.0,2325119709.2967463,NA,5,1.0
1.0,1.0,512,361,25,361,32,242,2,9363161.638461128,9263773717.97734,166405947931.93344,84302.41109417778,H2_5D,10811185.0625,0,2053.3043794500004,10813238.36687945,1510162484.1051283,0.0,41569.6454626752,1510204053.750591,NA,1,1.0
1.0,1.0,512,361,25,196,32,242,4,9363161.638461128,9263773717.97734,332811895863.8669,84304.41110958027,M3D,16876978.75,1719222.826446281,0,18596201.57644628,2896267663.7620482,178313465.74267524,0.0,3074581129.5047235,NA,5,1.0
1.0,1.0,512,361,25,361,32,242,2,9363161.638461128,9263773717.97734,166405947931.93344,84302.41109417778,H2_5D,10811185.0625,0,2053.3043794500004,10813238.36687945,1510162484.1051283,0.0,41569.6454626752,1510204053.750591,NA,1,1.0
1.0,1.0,512,400,25,400,32,242,1,9363161.638461128,9263773717.97734,92191660904.11826,93405.47646719351,M3D,10641403.5,0.0,0,10641403.5,800319125.8837851,0.0,0.0,800319125.8837851,NA,5,1.0
1.0,1.0,512,400,25,400,32,338,1,9363161.638461128,9263773717.97734,92191660904.11826,92986.54902729961,H2_5D,10641403.5,0.0,0,10641403.5,800319125.8837851,0.0,0.0,800319125.8837851,NA,1,1.0
1.0,1.0,512,400,25,256,32,242,2,9363161.638461128,9263773717.97734,184383321808.2365,93409.92048408603,M3D,15526689.25,1472028.8595041323,0,16998718.109504133,1543921328.457432,76611900.26438358,0.0,1620533228.7218156,NA,5,1.0
1.0,1.0,512,400,25,400,32,338,1,9363161.638461128,9263773717.97734,92191660904.11826,92986.54902729961,H2_5D,10641403.5,0.0,0,10641403.5,800319125.8837851,0.0,0.0,800319125.8837851,NA,1,1.0
1.0,1.0,512,400,25,144,32,242,3,9363161.638461128,9263773717.97734,276574982712.35474,93411.39826009554,M3D,19164242.75,2288335.0743801654,0,21452577.824380167,2679777926.5069914,190970589.95664355,0.0,2870748516.463635,NA,5,1.0
1.0,1.0,512,400,25,400,32,338,1,9363161.638461128,9263773717.97734,92191660904.11826,92986.54902729961,H2_5D,10641403.5,0.0,0,10641403.5,800319125.8837851,0.0,0.0,800319125.8837851,NA,1,1.0
1.0,1.0,512,400,25,196,32,242,4,9363161.638461128,9263773717.97734,368766643616.473,93412.13648367715,M3D,19245910.0,1904407.8016528925,0,21150317.801652893,3591002344.234464,218812144.74351776,0.0,3809814488.977982,NA,5,1.0
1.0,1.0,512,400,25,400,32,338,1,9363161.638461128,9263773717.97734,92191660904.11826,92986.54902729961,H2_5D,10641403.5,0.0,0,10641403.5,800319125.8837851,0.0,0.0,800319125.8837851,NA,1,1.0
1.0,1.0,512,441,25,400,32,242,1,9363161.638461128,9263773717.97734,101641306146.79037,102979.584551034,M3D,10644598.5,0.0,0,10644598.5,884235727.8532693,0.0,0.0,884235727.8532693,NA,5,1.0
1.0,1.0,512,441,25,441,32,338,1,9363161.638461128,9263773717.97734,101641306146.79037,102517.95589304558,H2_5D,10644598.5,0.0,0,10644598.5,884235727.8532693,0.0,0.0,884235727.8532693,NA,1,1.0
1.0,1.0,512,441,25,256,32,242,2,9363161.638461128,9263773717.97734,203282612293.58075,102984.48391080582,M3D,16849953.125,1622515.305785124,0,18472468.430785123,1816467942.716879,93082404.14501634,0.0,1909550346.8618953,NA,5,1.0
1.0,1.0,512,441,25,441,32,338,1,9363161.638461128,9263773717.97734,101641306146.79037,102517.95589304558,H2_5D,10644598.5,0.0,0,10644598.5,884235727.8532693,0.0,0.0,884235727.8532693,NA,1,1.0
1.0,1.0,512,441,25,144,32,242,3,9363161.638461128,9263773717.97734,304923918440.3711,102986.11310298022,M3D,21924235.625,2522433.0247933883,0,24446668.64979339,3317469317.425337,232052532.44115394,0.0,3549521849.866491,NA,5,1.0
1.0,1.0,512,441,25,441,32,338,1,9363161.638461128,9263773717.97734,101641306146.79037,102517.95589304558,H2_5D,10644598.5,0.0,0,10644598.5,884235727.8532693,0.0,0.0,884235727.8532693,NA,1,1.0
1.0,1.0,512,441,25,196,32,242,4,9363161.638461128,9263773717.97734,406565224587.1615,102986.92696661671,M3D,21917861.875,2099138.9421487604,0,24017000.81714876,4433912984.996873,265863403.45864257,0.0,4699776388.455516,NA,5,1.0
1.0,1.0,512,441,25,441,32,338,1,9363161.638461128,9263773717.97734,101641306146.79037,102517.95589304558,H2_5D,10644598.5,0.0,0,10644598.5,884235727.8532693,0.0,0.0,884235727.8532693,NA,1,1.0
