Model,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9
mobilenetv2,0.00321984125,0.00079573875,0.00079573875,0.00191127875,0.00176660375
resnet50,0.00874204125,0.00448121125,0.00391631125,0.00602459125,0.00602459125
vitbase,0.021808763749999998,0.015042308749999999,0.009199078749999999,0.016827428749999998,0.016827428749999998
vgg16,0.02650269625,0.02593841875,0.02575011875,0.02637117125,0.02632426375
gpt2,0.08959778625,0.08958990375,0.07810360374999999,0.08958990375,0.08958990375
qwen0.6b,0.1120733275,0.09856235,0.09856235,0.1073956475,0.1038873875
gemma1b,0.18180181375,0.17404978375000002,0.17404978375000002,0.17648897375000003,0.17404978375000002
llama,0.20824509875,0.20158633625,0.20158633625,0.20794748624999998,0.20460628625
