Model,Type,Total sim time,Total Cost per Part,Total Chip Area,Total Memory Latency,Total DDR Latency
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.6110098361968994,5.38165745113184,28.584027815304065,0.003088764,0.00321984125
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.5325345993041992,6.0157779718137085,35.348091474824066,0.002262742,0.00191127875
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.5367834568023682,6.652513650331086,42.11215513434406,0.002172424,0.00176660375
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.6264324188232422,7.289577136027746,48.87621879386408,0.001565294,0.00079573875
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.5381686687469482,7.928062318753502,55.640282453384046,0.001565294,0.00079573875
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.8376705646514893,5.706484019214728,30.410038610159003,0.02047955,0.021808763749999998
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.8218905925750732,6.382010285399518,37.61049347351901,0.0173478,0.016827428749999998
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.837174654006958,7.060082512732858,44.810948336878994,0.0173478,0.016827428749999998
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.787306547164917,7.738429446961927,52.01140320023902,0.016230052000000002,0.015042308749999999
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.8182156085968018,8.418002779357153,59.21185806359898,0.01257683,0.009199078749999999
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.6471736431121826,5.38165745113184,28.584027815304065,0.083959462,0.08959778625
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.6378986835479736,6.0157779718137085,35.348091474824066,0.083954432,0.08958990375
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.6656005382537842,6.652513650331086,42.11215513434406,0.083954432,0.08958990375
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.6326119899749756,7.289577136027746,48.87621879386408,0.083954432,0.08958990375
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.6646173000335693,7.928062318753502,55.640282453384046,0.07675857999999999,0.07810360374999999
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.6185169219970703,5.706484019214728,30.410038610159003,0.00822347,0.00874204125
