+--------+--------+-----------------+-----------+--------------+--------+----------+--------+----------------+----------------+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------------------------+
| Source | Target | connection_type | bus_width |      Q       | hops2d | hops2_5d | hops3d | nop_location_s | nop_location_d |                                                                    router_list_2d                                                                     | router_list_3d |          nop_router_list          |
| C3_T2  | C3_T7  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(0, 1, 0), (1, 1, 0)]}                                                             |       {}       |                {}                 |
| C3_T3  | C3_T4  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(0, 2, 0), (0, 3, 0)]}                                                             |       {}       |                {}                 |
| C3_T4  | C3_T9  |       2d        |    80     |  1210368.0   |   5    |    0     |   0    |       NA       |       NA       |                                      {'S3': [(0, 3, 0), (1, 3, 0), (2, 3, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0)]}                                       |       {}       |                {}                 |
| C3_T5  | C3_T6  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(1, 3, 0), (1, 2, 0)]}                                                             |       {}       |                {}                 |
| C3_T6  | C2_T13 |      2_5d       |    80     |  1210368.0   |   6    |    1     |   0    |     South      |     North      |                       {'S3': [(1, 2, 0), (1, -1, 0), (1, 0, 0), (1, 1, 0)], 'S2': [(2, 5, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0)]}                       |       {}       |      [(1, 1, 0), (1, 0, 0)]       |
| C3_T7  | C3_T8  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(1, 1, 0), (1, 0, 0)]}                                                             |       {}       |                {}                 |
| C3_T8  | C2_T11 |      2_5d       |    80     |  1210368.0   |   6    |    1     |   0    |     South      |     North      |                       {'S3': [(1, 0, 0), (1, -1, 0)], 'S2': [(2, 5, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0)]}                       |       {}       |      [(1, 1, 0), (1, 0, 0)]       |
| C3_T9  | C3_T10 |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(2, 0, 0), (2, 1, 0)]}                                                             |       {}       |                {}                 |
| C3_T10 | C2_T11 |      2_5d       |    80     |  1210368.0   |   8    |    1     |   0    |     South      |     North      |            {'S3': [(1, 1, 0), (2, 1, 0), (1, -1, 0), (1, 0, 0)], 'S2': [(2, 5, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0)]}            |       {}       |      [(1, 1, 0), (1, 0, 0)]       |
| C2_T11 | C2_T12 |       2d        |    80     |  3725664.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(2, 0, 0), (2, 1, 0)]}                                                             |       {}       |                {}                 |
| C2_T12 | C3_T11 |      2_5d       |    80     |  3725664.0   |   8    |    1     |   0    |     North      |     South      |           {'S2': [(2, 1, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0), (2, 5, 0)], 'S3': [(1, -1, 0), (2, -1, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0)]}            |       {}       |      [(1, 0, 0), (1, 1, 0)]       |
| C3_T11 | C3_T12 |       2d        |    80     |  3725664.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(2, 2, 0), (2, 3, 0)]}                                                             |       {}       |                {}                 |
| C3_T12 | C2_T13 |      2_5d       |    80     |  3725664.0   |   8    |    1     |   0    |     South      |     North      |            {'S3': [(1, 3, 0), (2, 3, 0), (1, -1, 0), (1, 0, 0), (1, 1, 0), (1, 2, 0)], 'S2': [(2, 5, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0)]}            |       {}       |      [(1, 1, 0), (1, 0, 0)]       |
| C2_T13 | C2_T14 |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(2, 2, 0), (2, 3, 0)]}                                                             |       {}       |                {}                 |
| C2_T14 | C2_T16 |       2d        |    80     |  1210368.0   |   2    |    0     |   0    |       NA       |       NA       |                                                       {'S2': [(2, 3, 0), (3, 3, 0), (3, 4, 0)]}                                                       |       {}       |                {}                 |
| C2_T15 | C2_T16 |       2d        |    80     |  4718592.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(2, 4, 0), (3, 4, 0)]}                                                             |       {}       |                {}                 |
| C2_T16 | C2_T17 |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(3, 4, 0), (3, 3, 0)]}                                                             |       {}       |                {}                 |
+--------+--------+-----------------+-----------+--------------+--------+----------+--------+----------------+----------------+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------------------------+
