Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
C1,%0,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C2,%1,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1280,1,NA,NA,NA,NA,NA,NA,NA
C3,%2,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280,320,NA,NA,NA,NA,NA,NA,NA,NA
C4,%3,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,320,1,NA,NA,NA,NA,NA,NA,NA
C5,%4,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,960,NA,NA,NA,NA,NA,NA,NA,NA
C6,%5,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C7,%6,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C8,%7,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,960,1,NA,NA,NA,NA,NA,NA,NA
C9,%8,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,160,NA,NA,NA,NA,NA,NA,NA,NA
C10,%9,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C11,%10,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12,%11,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,160,1,NA,NA,NA,NA,NA,NA,NA
C13,%12,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,960,NA,NA,NA,NA,NA,NA,NA,NA
C14,%13,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15,%14,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C16,%15,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,960,1,NA,NA,NA,NA,NA,NA,NA
C17,%16,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,160,NA,NA,NA,NA,NA,NA,NA,NA
C18,%17,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C19,%18,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20,%19,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,160,1,NA,NA,NA,NA,NA,NA,NA
C21,%20,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,960,NA,NA,NA,NA,NA,NA,NA,NA
C22,%21,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C23,%22,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C24,%23,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,960,1,NA,NA,NA,NA,NA,NA,NA
C25,%24,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,160,NA,NA,NA,NA,NA,NA,NA,NA
C26,%25,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C27,%26,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,160,1,NA,NA,NA,NA,NA,NA,NA
C28,%27,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,576,NA,NA,NA,NA,NA,NA,NA,NA
C29,%28,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C30,%29,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C31,%30,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,576,1,NA,NA,NA,NA,NA,NA,NA
C32,%31,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,96,NA,NA,NA,NA,NA,NA,NA,NA
C33,%32,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C34,%33,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C35,%34,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,96,1,NA,NA,NA,NA,NA,NA,NA
C36,%35,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,576,NA,NA,NA,NA,NA,NA,NA,NA
C37,%36,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C38,%37,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C39,%38,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,576,1,NA,NA,NA,NA,NA,NA,NA
C40,%39,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,96,NA,NA,NA,NA,NA,NA,NA,NA
C41,%40,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C42,%41,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C43,%42,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,96,1,NA,NA,NA,NA,NA,NA,NA
C44,%43,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,576,NA,NA,NA,NA,NA,NA,NA,NA
C45,%44,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C46,%45,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C47,%46,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,576,1,NA,NA,NA,NA,NA,NA,NA
C48,%47,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,96,NA,NA,NA,NA,NA,NA,NA,NA
C49,%48,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C50,%49,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,96,1,NA,NA,NA,NA,NA,NA,NA
C51,%50,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,384,NA,NA,NA,NA,NA,NA,NA,NA
C52,%51,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C53,%52,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C54,%53,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,384,1,NA,NA,NA,NA,NA,NA,NA
C55,%54,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,64,NA,NA,NA,NA,NA,NA,NA,NA
C56,%55,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C57,%56,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C58,%57,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64,1,NA,NA,NA,NA,NA,NA,NA
C59,%58,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,384,NA,NA,NA,NA,NA,NA,NA,NA
C60,%59,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C61,%60,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C62,%61,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,384,1,NA,NA,NA,NA,NA,NA,NA
C63,%62,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,64,NA,NA,NA,NA,NA,NA,NA,NA
C64,%63,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C65,%64,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C66,%65,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,64,1,NA,NA,NA,NA,NA,NA,NA
C67,%66,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,384,NA,NA,NA,NA,NA,NA,NA,NA
C68,%67,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C69,%68,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C70,%69,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,384,1,NA,NA,NA,NA,NA,NA,NA
C71,%70,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,64,NA,NA,NA,NA,NA,NA,NA,NA
