Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
C113,%112,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,144,NA,NA,NA,NA,NA,NA,NA,NA
C114,%113,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C115,%114,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C116,%115,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,144,1,NA,NA,NA,NA,NA,NA,NA
C117,%116,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,24,NA,NA,NA,NA,NA,NA,NA,NA
C118,%117,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C119,%118,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,24,1,NA,NA,NA,NA,NA,NA,NA
C120,%119,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,96,NA,NA,NA,NA,NA,NA,NA,NA
C121,%120,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
C122,%121,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
C123,%122,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,96,1,NA,NA,NA,NA,NA,NA,NA
C124,%123,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,16,NA,NA,NA,NA,NA,NA,NA,NA
C125,%124,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,1,NA,NA,NA,NA,NA,NA,NA
