Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L97,%374,Add,1,96,196,NA,1,96,1,NA,NA,NA,NA,NA,8,1,96,196,NA,/mobilenet_v2/layer.11/reduce_1x1/convolution/Conv_83,NA,NA,NA,NA,NA
L98,%376,Add,1,96,14,14,1,96,14,14,NA,NA,NA,NA,8,1,96,14,14,/mobilenet_v2/layer.11/Add,NA,NA,NA,NA,NA
L99,%378,MatMul,576,96,NA,NA,1,96,196,NA,NA,NA,NA,NA,8,1,576,196,NA,/mobilenet_v2/layer.12/expand_1x1/convolution/Conv_54,NA,NA,NA,NA,NA
L100,%379,Add,1,576,196,NA,1,576,1,NA,NA,NA,NA,NA,8,1,576,196,NA,/mobilenet_v2/layer.12/expand_1x1/convolution/Conv_82,NA,NA,NA,NA,NA
L101,%381,Clip,1,576,14,14,NA,NA,NA,NA,NA,NA,NA,NA,8,1,576,14,14,/mobilenet_v2/layer.12/expand_1x1/activation/Clip_136,NA,NA,NA,NA,NA
L102,%382,Conv,1,576,14,14,576,1,3,3,576,NA,NA,NA,8,1,576,7,7,/mobilenet_v2/layer.12/conv_3x3/convolution/Conv,"[1, 1]",576 : si64,"[3, 3]","[0, 0, 1, 1]","[2, 2]"
L103,%383,Clip,1,576,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,576,7,7,/mobilenet_v2/layer.12/conv_3x3/activation/Clip_161,NA,NA,NA,NA,NA
L104,%385,MatMul,160,576,NA,NA,1,576,49,NA,NA,NA,NA,NA,8,1,160,49,NA,/mobilenet_v2/layer.12/reduce_1x1/convolution/Conv_23,NA,NA,NA,NA,NA
L105,%386,Add,1,160,49,NA,1,160,1,NA,NA,NA,NA,NA,8,1,160,49,NA,/mobilenet_v2/layer.12/reduce_1x1/convolution/Conv_68,NA,NA,NA,NA,NA
L106,%388,MatMul,960,160,NA,NA,1,160,49,NA,NA,NA,NA,NA,8,1,960,49,NA,/mobilenet_v2/layer.13/expand_1x1/convolution/Conv_17,NA,NA,NA,NA,NA
L107,%389,Add,1,960,49,NA,1,960,1,NA,NA,NA,NA,NA,8,1,960,49,NA,/mobilenet_v2/layer.13/expand_1x1/convolution/Conv_65,NA,NA,NA,NA,NA
L108,%391,Clip,1,960,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.13/expand_1x1/activation/Clip_98,NA,NA,NA,NA,NA
L109,%392,Conv,1,960,7,7,960,1,3,3,960,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.13/conv_3x3/convolution/Conv,"[1, 1]",960 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L110,%393,Clip,1,960,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.13/conv_3x3/activation/Clip_12,NA,NA,NA,NA,NA
L111,%395,MatMul,160,960,NA,NA,1,960,49,NA,NA,NA,NA,NA,8,1,160,49,NA,/mobilenet_v2/layer.13/reduce_1x1/convolution/Conv_45,NA,NA,NA,NA,NA
L112,%396,Add,1,160,49,NA,1,160,1,NA,NA,NA,NA,NA,8,1,160,49,NA,/mobilenet_v2/layer.13/reduce_1x1/convolution/Conv_67,NA,NA,NA,NA,NA
L113,%398,Add,1,160,7,7,1,160,7,7,NA,NA,NA,NA,8,1,160,7,7,/mobilenet_v2/layer.13/Add,NA,NA,NA,NA,NA
L114,%400,MatMul,960,160,NA,NA,1,160,49,NA,NA,NA,NA,NA,8,1,960,49,NA,/mobilenet_v2/layer.14/expand_1x1/convolution/Conv_107,NA,NA,NA,NA,NA
L115,%401,Add,1,960,49,NA,1,960,1,NA,NA,NA,NA,NA,8,1,960,49,NA,/mobilenet_v2/layer.14/expand_1x1/convolution/Conv_44,NA,NA,NA,NA,NA
L116,%403,Clip,1,960,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.14/expand_1x1/activation/Clip_16,NA,NA,NA,NA,NA
L117,%404,Conv,1,960,7,7,960,1,3,3,960,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.14/conv_3x3/convolution/Conv,"[1, 1]",960 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L118,%405,Clip,1,960,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.14/conv_3x3/activation/Clip_36,NA,NA,NA,NA,NA
L119,%407,MatMul,160,960,NA,NA,1,960,49,NA,NA,NA,NA,NA,8,1,160,49,NA,/mobilenet_v2/layer.14/reduce_1x1/convolution/Conv_34,NA,NA,NA,NA,NA
L120,%408,Add,1,160,49,NA,1,160,1,NA,NA,NA,NA,NA,8,1,160,49,NA,/mobilenet_v2/layer.14/reduce_1x1/convolution/Conv_10,NA,NA,NA,NA,NA
L121,%410,Add,1,160,7,7,1,160,7,7,NA,NA,NA,NA,8,1,160,7,7,/mobilenet_v2/layer.14/Add,NA,NA,NA,NA,NA
L122,%412,MatMul,960,160,NA,NA,1,160,49,NA,NA,NA,NA,NA,8,1,960,49,NA,/mobilenet_v2/layer.15/expand_1x1/convolution/Conv_40,NA,NA,NA,NA,NA
L123,%413,Add,1,960,49,NA,1,960,1,NA,NA,NA,NA,NA,8,1,960,49,NA,/mobilenet_v2/layer.15/expand_1x1/convolution/Conv_24,NA,NA,NA,NA,NA
L124,%415,Clip,1,960,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.15/expand_1x1/activation/Clip_94,NA,NA,NA,NA,NA
L125,%416,Conv,1,960,7,7,960,1,3,3,960,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.15/conv_3x3/convolution/Conv,"[1, 1]",960 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L126,%417,Clip,1,960,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,960,7,7,/mobilenet_v2/layer.15/conv_3x3/activation/Clip_124,NA,NA,NA,NA,NA
L127,%419,MatMul,320,960,NA,NA,1,960,49,NA,NA,NA,NA,NA,8,1,320,49,NA,/mobilenet_v2/layer.15/reduce_1x1/convolution/Conv_125,NA,NA,NA,NA,NA
L128,%420,Add,1,320,49,NA,1,320,1,NA,NA,NA,NA,NA,8,1,320,49,NA,/mobilenet_v2/layer.15/reduce_1x1/convolution/Conv_138,NA,NA,NA,NA,NA
L129,%421,MatMul,1280,320,NA,NA,1,320,49,NA,NA,NA,NA,NA,8,1,1280,49,NA,/mobilenet_v2/conv_1x1/convolution/Conv_114,NA,NA,NA,NA,NA
L130,%422,Add,1,1280,49,NA,1,1280,1,NA,NA,NA,NA,NA,8,1,1280,49,NA,/mobilenet_v2/conv_1x1/convolution/Conv_139,NA,NA,NA,NA,NA
L131,%424,Clip,1,1280,7,7,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1280,7,7,/mobilenet_v2/conv_1x1/activation/Clip_152,NA,NA,NA,NA,NA
L132,%427,Gemm,1,1280,NA,NA,1001,1280,NA,NA,1001,NA,NA,NA,8,1,1001,NA,NA,/classifier/Gemm,NA,NA,NA,NA,NA
