Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L49,%852,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.3/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L50,%856,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.3/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L51,%861,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.3/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L52,%862,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.3/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L53,%866:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.3/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L54,%867,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.3/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L55,%871,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.3/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L56,%872:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.3/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L57,%873,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.3/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L58,%877,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.3/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L59,%881,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.3/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L60,%883,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.3/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L61,%887,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.3/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
L62,%888:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.4/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L63,%889,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.4/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L64,%893,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.4/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L65,%897,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.4/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L66,%902,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.4/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L67,%903,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.4/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L68,%907:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.4/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L69,%908,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.4/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L70,%912,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.4/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L71,%913:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.4/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L72,%914,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.4/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L73,%918,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.4/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L74,%922,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.4/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L75,%924,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.4/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L76,%928,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.4/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
L77,%929:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.5/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L78,%930,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.5/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L79,%934,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.5/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L80,%938,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.5/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L81,%943,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.5/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L82,%944,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.5/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L83,%948:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.5/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L84,%949,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.5/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L85,%953,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.5/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L86,%954:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.5/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L87,%955,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.5/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L88,%959,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.5/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L89,%963,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.5/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L90,%965,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.5/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L91,%969,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.5/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
