Model,Type: User-Defined Stack Count: 32 Chip Count: 1,Type: User-Defined Stack Count: 64 Chip Count: 1,Type: User-Defined Stack Count: 1 Chip Count: 1,Type: User-Defined Stack Count: 8 Chip Count: 1,Type: User-Defined Stack Count: 16 Chip Count: 1,Type: User-Defined Stack Count: 2 Chip Count: 1,Type: User-Defined Stack Count: 4 Chip Count: 1
vgg16,0.4992530345916748,0.4489095211029053,0.5316007137298584,0.4474670886993408,0.4698796272277832,0.3687610626220703,0.37278246879577637
resnet50,1.0210151672363281,0.9991345405578613,0.6644213199615479,0.8226616382598877,0.886805534362793,0.7397146224975586,0.7644448280334473
gpt2,1.0475282669067383,1.1838223934173584,0.7692642211914062,0.8541500568389893,0.9346802234649658,0.7852563858032227,0.7947885990142822
mobilenetv2,0.9045305252075195,0.9110369682312012,0.7712059020996094,0.8160631656646729,0.8189201354980469,0.7784600257873535,0.7676973342895508
vitbase,1.204275131225586,1.342195749282837,0.8535633087158203,1.015394926071167,1.0624606609344482,0.9755246639251709,0.9588460922241211
llama,1.4354772567749023,1.5475351810455322,1.175415277481079,1.2903499603271484,1.5784499645233154,1.184537649154663,1.210334062576294
qwen0.6b,1.699655294418335,1.875605583190918,1.47922945022583,1.5893101692199707,1.6314823627471924,1.507312536239624,1.5184736251831055
gemma1b,1.6715664863586426,1.7505192756652832,1.5031871795654297,1.5375406742095947,1.6226508617401123,1.4654972553253174,1.4882028102874756
