Model,Type,Total sim time,Total Cost per Part,Total Chip Area
mobilenetv2,Type: User-Defined Stack Count: 1 Chip Count: 1,0.7712059020996094,4.463530471473874,64.36666710999445
mobilenetv2,Type: User-Defined Stack Count: 2 Chip Count: 1,0.7784600257873535,7.1184608260063875,65.93787089582979
mobilenetv2,Type: User-Defined Stack Count: 4 Chip Count: 1,0.7676973342895508,8.026986099345569,68.32042115507976
mobilenetv2,Type: User-Defined Stack Count: 8 Chip Count: 1,0.8160631656646729,9.820440376579251,74.45809633897939
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1,0.8189201354980469,12.663292338619963,82.21368961614401
mobilenetv2,Type: User-Defined Stack Count: 32 Chip Count: 1,0.9045305252075195,18.20352979129389,96.89821836552333
mobilenetv2,Type: User-Defined Stack Count: 64 Chip Count: 1,0.9110369682312012,22.08963769668391,111.13976407249729
vitbase,Type: User-Defined Stack Count: 1 Chip Count: 1,0.8535633087158203,8.159463513501418,117.02806588445607
vitbase,Type: User-Defined Stack Count: 2 Chip Count: 1,0.9755246639251709,17.995300215624038,170.4252945120501
vitbase,Type: User-Defined Stack Count: 4 Chip Count: 1,0.9588460922241211,16.709197035397995,155.7885878215396
vitbase,Type: User-Defined Stack Count: 8 Chip Count: 1,1.015394926071167,21.922419551174258,197.31973968462
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1,1.0624606609344482,24.58393050756667,215.14428351831904
vitbase,Type: User-Defined Stack Count: 32 Chip Count: 1,1.204275131225586,30.943425607485704,258.55914655356275
vitbase,Type: User-Defined Stack Count: 64 Chip Count: 1,1.342195749282837,38.56054791715311,293.464785608711
gpt2,Type: User-Defined Stack Count: 1 Chip Count: 1,0.7692642211914062,99.0923154017339,777.1789865741462
gpt2,Type: User-Defined Stack Count: 2 Chip Count: 1,0.7852563858032227,104.03714821495988,778.7501903599674
gpt2,Type: User-Defined Stack Count: 4 Chip Count: 1,0.7947885990142822,89.60807343349681,781.4237944348369
gpt2,Type: User-Defined Stack Count: 8 Chip Count: 1,0.8541500568389893,86.4427326789722,788.5299889391008
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1,0.9346802234649658,87.71513892941152,799.085821913603
gpt2,Type: User-Defined Stack Count: 32 Chip Count: 1,1.0475282669067383,89.84153577439811,816.4103941926235
gpt2,Type: User-Defined Stack Count: 64 Chip Count: 1,1.1838223934173584,95.38917242865747,846.4405994448867
resnet50,Type: User-Defined Stack Count: 1 Chip Count: 1,0.6644213199615479,6.025035428361342,86.55807744493603
resnet50,Type: User-Defined Stack Count: 2 Chip Count: 1,0.7397146224975586,10.308167933333966,97.71614778778937
resnet50,Type: User-Defined Stack Count: 4 Chip Count: 1,0.7644448280334473,11.54069748118943,104.16279653747984
resnet50,Type: User-Defined Stack Count: 8 Chip Count: 1,0.8226616382598877,14.138543162980566,116.4232776932395
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1,0.886805534362793,17.1492732236943,124.72511699163879
resnet50,Type: User-Defined Stack Count: 32 Chip Count: 1,1.0210151672363281,24.780380666358347,147.23979476390286
resnet50,Type: User-Defined Stack Count: 64 Chip Count: 1,0.9991345405578613,28.74431371691928,164.68977147056174
vgg16,Type: User-Defined Stack Count: 1 Chip Count: 1,0.5316007137298584,18.56266519754367,235.87919443105184
vgg16,Type: User-Defined Stack Count: 2 Chip Count: 1,0.3687610626220703,26.26094386970203,237.4503982168876
